role,normalized_role
controrelatori,co-examiner
contutore,co-tutor
coocrdinatore,coordinator
coodinador del doctorado,coordinator
coodinator,contributor
coodinatore,coordinator
coodinatore d'indirizzo,contributor
coodinatore del corso,contributor
cooedinatore,coordinator
cooirdinatore,coordinator
cooordinator,coordinator
cooordinatore,coordinator
cooordinatore del ciclo,contributor
cooordinatore del ciclo e relatore,supervisor
cooordinatore del dottorato,contributor
cooordinatore del programma di dottorato,contributor
coord.,coordinator
coord. del ciclo,coordinator
coord. del corso di dottorato,contributor
coord. del dottorato,coordinator
coord. dottorato,coordinator
coord.re,coordinator
coordiantor,coordinator
coordiantore,coordinator
coordiantore d'indirizzo,coordinator
coordiantore del collegio dei docenti,faculty board coordinator
coordiatore,coordinator
coordiatore del dottorando,coordinator
coordiatore e tutor,coordinator and tutor
coordimator,coordinator
coordinador del doctorado,phd coordinator
coordinador del doctorat,coordinator
coordinador programa doctorado,coordinator
coordinadora,coordinator
coordinadora del programa,coordinator
coordinamento ciclo,contributor
coordinamento del ciclo,contributor
coordinamento del dottorato,contributor
coordinaore,coordinator
coordinaorte,coordinator
coordinaorte d'indirizzo,contributor
coordinarore,coordinator
coordinarore del ciclo,coordinator
coordinartore,coordinator
coordinater,coordinator
coordinateur du doctorat,coordinator
coordinatoe,coordinator
coordinator,coordinator
coordinator and advisor,coordinator
coordinator and supervisor,coordinator
coordinator and tutor,coordinator
coordinator for industrial innovation engineering,coordinator
coordinator naples site,coordinator
coordinator of doctoral program,coordinator
coordinator of doctoral studies,coordinator
coordinator of doctorate course,coordinator
coordinator of ph. d. course,coordinator
coordinator of ph.d. course,coordinator
coordinator of ph.d.course,coordinator
coordinator of phd course,coordinator
coordinator of phd course in chemistry (xxx cycle),coordinator
coordinator of phd program,coordinator
coordinator of phd program in physics,coordinator
coordinator of phd programme,coordinator
coordinator of phd research itac in politecnico di torino,coordinator
coordinator of research studies,coordinator
coordinator of the 17. ph.d. course in civil and environmental engineering co-tutor,co-tutor
coordinator of the committee of ph.d. studies,coordinator
coordinator of the course,coordinator
coordinator of the course and tutor,coordinator
coordinator of the curriculum,coordinator
coordinator of the doctoral course,coordinator
coordinator of the doctoral program,coordinator
coordinator of the doctoral programme,coordinator
coordinator of the doctoral school in padova,coordinator
coordinator of the doctoral school section,coordinator
coordinator of the doctorate,coordinator
coordinator of the doctorate course,coordinator
coordinator of the doctorate program,coordinator
coordinator of the international doctorate,coordinator
coordinator of the ph. d. in economics,coordinator
coordinator of the ph. d. program,coordinator
coordinator of the ph. d. programin energetics,coordinator
coordinator of the ph. d. school,coordinator
coordinator of the ph.d. course,coordinator
coordinator of the ph.d. program,coordinator
coordinator of the phd course,coordinator
coordinator of the phd course in chemistry,coordinator
coordinator of the phd program,coordinator
coordinator of the phd program in physics,coordinator
coordinator of the phd school,coordinator
coordinator of the research,coordinator
coordinator of the research doctorate,coordinator
coordinator of the research doctorate course,coordinator
coordinator of the research doctorate course/coordinatore del corso di dottorato,coordinator
coordinator of the school,coordinator
coordinator phd program,coordinator
coordinator research doictorate course,coordinator
coordinator-tutor,coordinator
coordinatore,coordinator
coordinatore & tutor,coordinator
coordinatore 1. ciclo,coordinator
coordinatore 17. ciclo,coordinator
coordinatore = coordinator,coordinator
coordinatore a. a. 2002-2004,coordinator
coordinatore attuale corso di dottorato,coordinator
coordinatore centrale,coordinator
coordinatore collegio dei docenti,coordinator
coordinatore collegio docenti,coordinator
coordinatore collegio docenti e relatore,coordinator
coordinatore corso di dottorato,coordinator
coordinatore corso dottorato,coordinator
coordinatore d'indirizzi,coordinator
coordinatore d'indirizzo,coordinator
coordinatore d'indirizzo e supervisore,coordinator
coordinatore d'indirizzo mmis,coordinator
coordinatore d'indrizzo,coordinator
coordinatore dal 2011-2013,coordinator
coordinatore dal 2014,coordinator
coordinatore de dottorato,coordinator
coordinatore degli studi,coordinator
coordinatore dei corsi di dottorato,coordinator
coordinatore dei dottorati,coordinator
coordinatore del 14. ciclo del dottorato di ricerca,coordinator
coordinatore del 15. ciclo,coordinator
coordinatore del 16. ciclo,coordinator
coordinatore del 16. ciclo di dottorato di ricerca,coordinator
coordinatore del ciclo,coordinator
coordinatore del ciclo di dottorato,coordinator
coordinatore del ciclo e relatore,coordinator
coordinatore del ciclo e tutor,coordinator
coordinatore del colleggio dei docenti,faculty board coordinator
coordinatore del collegio,coordinator
coordinatore del collegio dei docenti,faculty board coordinator
coordinatore del collegio dei docenti e relatore/tutore,coordinator
coordinatore del collegio dei docenti e tutore,coordinator
coordinatore del collegio dei docenti relatore,coordinator
coordinatore del collegio dei docenti tutore e relatore,coordinator
coordinatore del collegio dei docenti tutore-relatore,coordinator
coordinatore del collegio dei dovcenti,faculty board coordinator
coordinatore del collegio di dottorato,coordinator
coordinatore del collegio di dottorato e direttore del programma di ricerca,coordinator
coordinatore del collegio docenti,coordinator
coordinatore del collegiop dei docenti,faculty board coordinator
coordinatore del colllegio dei docenti,faculty board coordinator
coordinatore del corso,coordinator
coordinatore del corso di dottorato,coordinator
coordinatore del corso di dottorato = phd course coordinator,coordinator
coordinatore del corso di dottorato di ricerca,coordinator
coordinatore del corso di dottorato di ricerca in ingegneria idraulica,phd coordinator
coordinatore del corso di dottorato e relatore,coordinator
coordinatore del corso di dottorato e tutore dell'allievo,coordinator
coordinatore del corso di dottorato in fisica 14. ciclo,coordinator
coordinatore del corso di dottorato in ingegneria idraulica,phd coordinator
coordinatore del corso di dottotato,coordinator
coordinatore del corso di ricerca,coordinator
coordinatore del corso e docente guida del corso di dottorato,coordinator
coordinatore del corso e relatore,coordinator
coordinatore del corso e tutor,coordinator
coordinatore del corso e tutor della ricerca,coordinator
coordinatore del corso e tutore,coordinator
coordinatore del corsoi di dottorato,coordinator
coordinatore del curriculum,coordinator
coordinatore del d.r.c.a,coordinator
coordinatore del d.r.c.a.,coordinator
coordinatore del dipartimento,coordinator
coordinatore del do.p.a.u.,coordinator
coordinatore del dopau,coordinator
coordinatore del dottorando,coordinator
coordinatore del dottorao,coordinator
coordinatore del dottorarto,coordinator
coordinatore del dottorato,coordinator
coordinatore del dottorato (vicario),coordinator
coordinatore del dottorato 2011-2013,coordinator
coordinatore del dottorato 2014,phd coordinator
coordinatore del dottorato dal 2011,coordinator
coordinatore del dottorato dal 2014,phd coordinator
coordinatore del dottorato di architettura,coordinator
coordinatore del dottorato di ricerca,coordinator
coordinatore del dottorato di ricerca e referente,coordinator
coordinatore del dottorato di ricerca in biologia cellulare,coordinator
coordinatore del dottorato di ricerca in economia politica,coordinator
coordinatore del dottorato di ricerca in fisica,coordinator
coordinatore del dottorato di ricerca in geofisica,coordinator
coordinatore del dottorato di ricerca in ingegneria civile e ambientale,phd coordinator
coordinatore del dottorato di ricerca in ingegneria del territorio,phd coordinator
coordinatore del dottorato di ricerca in matematica,coordinator
coordinatore del dottorato di ricerca in pedagogia,phd coordinator
coordinatore del dottorato di ricerca in ricerca operativa,coordinator
coordinatore del dottorato di ricerca in storia medievale (17. ciclo),coordinator
coordinatore del dottorato di ricerca università degli studi di trieste,phd coordinator
coordinatore del dottorato e direttore della scuola,coordinator
coordinatore del dottorato e direttore della scuola di dottorato,coordinator
coordinatore del dottorato e supervisore,coordinator
coordinatore del dottorato e tutor,coordinator
coordinatore del dottorato e tutor del dottorato,coordinator
coordinatore del dottorato e tutor scientifico,coordinator
coordinatore del dottorato e tutore,coordinator
coordinatore del dottorato e tutore scientifico,coordinator
coordinatore del dottorato e tutore/relatore,coordinator
coordinatore del dottorato fino al 2010,coordinator
coordinatore del dottorato in architettura,coordinator
coordinatore del dottorato in composizione architettonica del politecnico di milano,coordinator
coordinatore del dottorato in demografia,coordinator
coordinatore del dottorato in filosofia,phd coordinator
coordinatore del dottorato in fisica,coordinator
coordinatore del dottorato in geologia del sedimentario,coordinator
coordinatore del dottorato in ingegneria geotecnica,coordinator
coordinatore del dottorato in progettazione paesistica,phd coordinator
coordinatore del dottorato in scienze della terra,coordinator
coordinatore del dottorato in scienze giuridiche,phd coordinator
coordinatore del dottorato in storia dell'architettura e della città,coordinator
coordinatore del dottorato in urbanistica,coordinator
coordinatore del dottotato,coordinator
coordinatore del drppt,coordinator
coordinatore del programa di dottorato,coordinator
coordinatore del programma di dottorato,coordinator
coordinatore del xxiii ciclo,coordinator
